"","plot_number","dominant_veg_1930","secondary_veg_1930","dominant_cover_1930","secondary_cover_1930","dominant_veg_2009","secondary_veg_2009","dominant_cover_2009","secondary_cover_2009","elevation","aspect","slope","solar_radiation_summer","solar_radiation_equinox","solar_radiation_winter","road_dist","precipitation","max_temp","mean_temp","min_temp","max_vpd_jan","max_vpd_aug","available_water_supply","bulk_density","organic_matter","clay","sand","silt","number_fires","min_return_interval","min_anomaly"
"20",26,"chaparral","grass",82,18,"grass","sage",64,20,1049.76102783203,0.427890954042249,21.2707094955444,6263.48590820313,4747.08830078125,2091.56584472656,1302.09234863281,696.820007324219,32.0900001525879,15.5,3.9300000667572,11.6999998092651,37.810001373291,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-118.245971679688
"21",27,"sage","grass",64,36,"grass","sage",94,6,892.821462402344,-0.932374957509452,22.8288840675354,5860.33701171875,3114.33715332031,789.362557373047,411.798316040039,545.608010253906,32.5212005615234,15.8507997894287,4.48039985656738,12.4012001419067,36.9691995239258,7.03,1.5,1.51,24.9,37.8,37.3,3,6,-110.640991210938
"22",28,"sage","grass",64,36,"chaparral","grass",60,40,614.093928222656,0.679140675115143,38.3743851470947,5230.22938476562,4526.57845703125,2215.75758789063,318.701598510742,559,33.4199981689453,15.9899997711182,3.76999998092651,14.2799997329712,40.5099983215332,4.37,1.44,0.75,24,39,37,4,15,-116.790985107422
"23",30,"chaparral","grass",86,14,"chaparral","grass",82,18,929.858983154297,-0.531045352928356,26.7287572097778,5626.91872070312,2960.19353027344,693.942985839844,66.8065868377685,713.820007324219,32.8899993896484,14.8100004196167,1.35000002384186,13.5699996948242,39.7299995422363,12.47,1.52,0.58,18.4,55.6,26,2,86,-118.033935546875
"24",31,"chaparral","grass",82,18,"grass","chaparral",70,30,782.683371582031,0.397374511566437,22.8492404174805,6004.23987304687,4563.51779296875,1995.99404785156,245.772587280273,684.602791748047,33.4041995239258,14.6166003227234,0.83779999256134,13.9347999763489,41.0015996551514,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-118.245971679688
"25",32,"chaparral","grass",90,10,"chaparral","grass",88,12,1133.13768310547,-0.0404713183887285,25.7751346588135,5786.8915234375,3139.686328125,848.775676269531,476.4494140625,774.5,30.8600006103516,15.0500001907349,4.19000005722046,9.55000019073486,32.6699981689453,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-122.382019042969
"26",36,"chaparral","grass",94,6,"chaparral","grass",66,34,713.138170166016,0.579808909226669,10.5355512809753,6152.24473632813,3908.09023925781,1368.36588623047,1983.69815673828,643.380004882812,33.5,15.0200004577637,1.75,13.8400001525879,41.5400009155273,4.97,1.48,0.8,21.6,45.4,33,3,6,-206.565979003906
"27",40,"chaparral","grass",96,4,"chaparral","grass",86,14,1297.59424072266,0.244144471111736,18.1141742515564,6489.7137109375,4766.44936523438,2049.19396240234,439.265319824219,766.193609619141,30.8876000213623,15.0776000022888,4.12099996089935,9.46640007019043,32.6888009643555,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-122.382019042969
"28",43,"sage","grass",64,34,"grass","chaparral",60,38,543.750484619141,0.96401255945029,29.1212831497192,5473.71716796875,4164.93306640625,1820.26460449219,318.010383911133,552.679992675781,34.3699989318848,17.0200004577637,5.09000015258789,13.8999996185303,42.7000007629395,11.01,1.42,0.49,27,22.3,50.7,5,6,-116.790985107422
"29",46,"grass","sage",52,38,"grass","sage",82,18,273.860074157715,0.496545997449037,39.2384661102295,4798.3927734375,2854.87901367187,887.262994384766,182.747890930176,546.808002929688,31.3163999176025,17.1623999786377,6.70760004043579,14.2099998092651,31.1907995605469,25.5,1.45,1.26,31,35,34,4,5,-305.406982421875
"30",47,"chaparral","grass",62,24,"grass","tree",78,20,722.827014160156,0.655292958993439,23.9047006988525,5835.28237304688,3873.9971484375,1447.79043212891,308.286950683594,569.679992675781,34.7200012207031,17.5,5.69999980926514,13.7200002670288,43.0400009155273,4.37,1.44,0.75,24,39,37,5,5,-322.613983154297
"31",50,"chaparral","grass",96,4,"chaparral","grass",82,18,1176.10714355469,-0.703862351287177,21.1226968955994,5885.85390625,3336.15071777344,1014.78382568359,291.731519775391,755.429992675781,31.8500003814697,16.0200004577637,5.21999979019165,10.5900001525879,35.3600006103516,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-206.565979003906
"32",54,"chaparral","grass",94,6,"chaparral","grass",92,8,1219.96367919922,0.1863480812751,16.0462630462646,6293.3367578125,3809.33616699219,1242.63729614258,1678.18807617188,701.159973144531,31.3199996948242,15.6300001144409,4.8899998664856,9.85000038146973,33.8800010681152,4.97,1.48,0.8,21.6,45.4,33,2,86,-123.544006347656
"33",55,"grass","sage",52,44,"grass","chaparral",76,22,494.099801025391,0.862029310078038,26.9149934005737,5606.34044921875,4328.75509765625,1911.01596191406,303.691838989258,597.489990234375,34.8800010681152,17.4400005340576,4.98999977111816,14.4300003051758,43.4799995422363,5.79,1.48,1.73,22.5,39.8,37.7,2,86,-103.378967285156
"34",56,"chaparral","grass",90,10,"grass","sage",78,14,206.259824829102,-0.40882379897449,4.03488672494888,5915.4620703125,3808.66023925781,1337.92819580078,71.1829889678955,538.65279296875,32.4103988647461,17.3439993286133,6.47040006637573,14.5479999542236,35.6544012451172,7.82,1.56,0.55,16.5,58,25.5,3,5,-116.790985107422
"35",57,"chaparral","tree",62,34,"grass","chaparral",60,28,369.935802001953,-0.82366736261807,24.3984548568726,5369.91451171875,2733.19130371094,595.648021240234,325.33365234375,539.739990234375,32.2799987792969,17.2999992370605,6.44000005722046,14.5799999237061,35.2200012207031,15.69,1.48,0.42,13,53,34,3,5,-102.014007568359
"36",58,"chaparral","grass",98,2,"chaparral","grass",100,0,635.801856689453,-0.670142849320404,29.1831737518311,5237.20270507813,2472.2038671875,421.269011230469,4300.19375,561.880004882812,34.3899993896484,16.4799995422363,4.09000015258789,12.9700002670288,43.7799987792969,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-103.244995117188
"37",59,"grass","sage",52,48,"grass","sage",68,32,1077.52628662109,0.9130546583804,27.5530836486816,5886.02845703125,4576.88294921875,2066.39703613281,566.249699707031,743.869995117188,32.0900001525879,15.3299999237061,3.42000007629395,11.789999961853,37.8800010681152,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-122.382019042969
"38",61,"chaparral","grass",86,14,"chaparral","grass",80,20,1353.31817871094,-0.0830195923244118,9.53037773132324,6682.32340820312,4545.74081054687,1783.77579101562,248.028180236816,768.27001953125,30.4699993133545,14.6599998474121,3.5699999332428,9.13000011444092,31.6100006103516,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-122.382019042969
"39",64,"chaparral","grass",56,44,"grass","chaparral",66,34,1288.1353515625,-0.782513865063746,10.8466160774231,6563.08297851562,4189.82519042969,1500.99592773438,1898.97629394531,752.97998046875,30.6800003051758,14.9099998474121,4.03000020980835,9.35000038146973,32.439998626709,4.97,1.48,0.8,21.6,45.4,33,2,86,-122.382019042969
"40",70,"chaparral","grass",52,48,"grass","sage",50,32,1180.74907714844,0.855008696562101,22.815984992981,6261.88877929688,4804.60408203125,2154.55026611328,5571.35745117188,567.909973144531,31.7600002288818,15.5699996948242,4.46000003814697,10.3400001525879,36.439998626709,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-103.244995117188
"41",71,"chaparral","grass",94,6,"chaparral","grass",100,0,752.388122558594,-0.976734097789234,17.1066640090942,5969.27326171875,3507.52837402344,1041.18370117188,4089.92914550781,597.97998046875,33.5800018310547,15.4399995803833,2.84999990463257,12.4300003051758,42.0800018310547,4.97,1.48,0.8,21.6,45.4,33,3,14,-123.544006347656
"42",72,"grass","tree",86,14,"grass","tree",74,26,1173.19879394531,-0.87391671322021,20.0622423934937,6223.28862304687,3871.36794921875,1328.87774658203,476.483859863281,750.010009765625,31.6800003051758,15.8999996185303,5.09000015258789,10.3199996948242,34.8199996948242,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-206.565979003906
"43",73,"chaparral","barren",64,22,"chaparral","grass",48,34,1064.52981201172,-0.34108630799532,22.691561164856,6103.49447265625,4273.40705078125,1719.66075195313,2651.28712890625,655.289978027344,31.5499992370605,15.4700002670288,4.40999984741211,10.5299997329712,35.6699981689453,4.97,1.48,0.8,21.6,45.4,33,2,86,-123.544006347656
"44",74,"chaparral","grass",96,4,"chaparral","grass",94,6,1270.73211181641,-0.866791891035206,26.1333941650391,6003.65916015625,3711.23095214844,1255.20634277344,48.4931902313232,750.010009765625,31.6800003051758,15.8999996185303,5.09000015258789,10.3199996948242,34.8199996948242,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-206.565979003906
"45",76,"barren","chaparral",90,10,"barren","chaparral",72,28,1120.72135009766,-0.553086064670788,17.6044558334351,6299.0167578125,4200.75945800781,1597.37354980469,3072.27534667969,672.119995117188,31.8899993896484,16.2299995422363,5.73000001907349,10.5900001525879,36.0699996948242,4.97,1.48,0.8,21.6,45.4,33,3,6,-206.565979003906
"46",78,"chaparral","grass",82,18,"chaparral","grass",56,44,1013.60888427734,0.834238642859211,20.8464639663696,6133.97984375,4204.23912109375,1646.20333496094,4408.57975585937,610.030029296875,32.7200012207031,15.0699996948242,2.19000005722046,12.0200004577637,39.5099983215332,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-103.244995117188
"47",80,"grass","tree",64,36,"grass","sage",74,14,536.653366699219,0.486882557634461,14.63271484375,6025.48091796875,4320.29666992188,1760.95425537109,422.944457397461,570.099975585938,34.4599990844727,17.1700000762939,5.1399998664856,13.8299999237061,42.3899993896484,4.37,1.44,0.75,24,39,37,4,6,-110.640991210938
"48",81,"chaparral","grass",90,6,"chaparral","barren",90,8,1124.13200683594,-0.595833891291874,16.8643666267395,6193.57361328125,3460.63137207031,967.306070556641,3369.08968261719,672.119995117188,31.8899993896484,16.2299995422363,5.73000001907349,10.5900001525879,36.0699996948242,4.97,1.48,0.8,21.6,45.4,33,3,6,-206.565979003906
"49",83,"chaparral","grass",64,36,"grass","chaparral",62,20,727.714136962891,0.745147775261329,39.10381980896,4937.82193359375,3319.4298046875,1232.52664306641,5932.67232421875,560.919982910156,34.4300003051758,16.3299999237061,3.73000001907349,12.5,43.8699989318848,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-103.244995117188
"50",86,"chaparral","grass",84,16,"chaparral","grass",58,42,820.601953125,0.210586051774359,14.5717474937439,6031.23470703125,3788.86254394531,1283.49202148438,18.9352500915527,713.820007324219,32.8899993896484,14.8100004196167,1.35000002384186,13.5699996948242,39.7299995422363,12.47,1.52,0.58,18.4,55.6,26,2,86,-118.033935546875
"51",87,"chaparral","grass",82,18,"chaparral","grass",70,30,431.532796630859,-0.343548724483909,14.6920587539673,5806.00803710938,3290.94696777344,853.355122070313,36.5509513092041,576.320007324219,34.8199996948242,17.3600006103516,5.26999998092651,14.1599998474121,43.7999992370605,4.37,1.44,0.75,24,39,37,2,5,-102.014007568359
"52",88,"chaparral","grass",76,24,"chaparral","grass",100,0,1144.76299316406,-0.323770483067517,25.6962233924866,6050.77297851563,4314.02725585938,1780.98550537109,2434.25298828125,667.119995117188,31.5900001525879,15.7299995422363,5.07999992370605,10.1300001144409,35.310001373291,4.97,1.48,0.8,21.6,45.4,33,2,86,-123.544006347656
"53",89,"chaparral","grass",100,0,"chaparral","grass",86,14,558.095723876953,-0.671172661130114,41.922310333252,4433.06809570313,1617.30946777344,357.601541137695,532.780716552734,550.570007324219,33.8300018310547,17.0499992370605,5.19999980926514,13.75,40.5400009155273,11.01,1.42,0.49,27,22.3,50.7,3,15,-116.790985107422
"54",90,"chaparral","grass",78,22,"grass","sage",62,34,239.482810974121,0.986700516359659,16.3540711975098,5787.62783203125,4033.57875488281,1568.28318115234,266.932868041992,526.150024414062,33.9099998474121,17.8500003814697,6.82000017166138,14.1800003051758,40.6500015258789,4.37,1.44,0.75,24,39,37,3,5,-116.790985107422
"55",91,"tree","grass",56,26,"chaparral","grass",50,44,378.885276489258,-0.192060432248391,39.685718460083,4570.04345703125,2043.44741943359,403.975540771484,57.2258323669434,569.679992675781,34.7200012207031,17.5,5.69999980926514,13.7200002670288,43.0400009155273,5.79,1.48,1.73,22.5,39.8,37.7,3,19,-322.613983154297
"56",93,"sage","grass",84,16,"grass","tree",62,22,1126.67877929688,-0.913218798063547,19.3556832504272,6212.34703125,3806.12830078125,1274.90047119141,600.446668701172,750.010009765625,31.6800003051758,15.8999996185303,5.09000015258789,10.3199996948242,34.8199996948242,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-206.565979003906
"57",94,"chaparral","grass",82,12,"chaparral","grass",62,26,1139.93055664062,-0.019519186282578,17.4770761871338,6209.23688476563,3613.7414453125,1112.42521728516,3972.27341796875,622.960021972656,31.8799991607666,16.0300006866455,5.13000011444092,10.7299995422363,36.189998626709,4.97,1.48,0.8,21.6,45.4,33,3,6,-138.048950195312
"58",95,"chaparral","grass",80,20,"chaparral","grass",80,20,793.703182373047,-0.544957829102625,16.1222375869751,6066.3223828125,3933.28336425781,1418.98576904297,172.351281738281,688.260009765625,33.1500015258789,14.5100002288818,0.600000023841858,13.8199996948242,40.2799987792969,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-118.245971679688
"59",96,"chaparral","grass",96,4,"chaparral","grass",98,2,1101.83766113281,-0.775985450891132,23.984531288147,6060.66053710937,3858.93883300781,1366.57994384766,542.239636230469,750.010009765625,31.6800003051758,15.8999996185303,5.09000015258789,10.3199996948242,34.8199996948242,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-206.565979003906
"60",97,"chaparral","grass",80,10,"chaparral","grass",96,2,1100.14928955078,0.79432302859959,23.0072221374512,6196.08848632813,4795.61139648438,2158.33422363281,1040.57181274414,757.260009765625,31.8199996948242,16.1000003814697,5.3899998664856,10.3199996948242,35.2700004577637,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-206.565979003906
"61",100,"chaparral","grass",72,28,"grass","chaparral",54,46,770.312264404297,0.311068630137621,15.5648979854584,5710.77326171875,3809.73329589844,1463.25235595703,581.134281005859,696.299987792969,33.2099990844727,14.2700004577637,0,13.289999961853,40.6800003051758,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-118.245971679688
"62",102,"chaparral","grass",88,12,"chaparral","grass",52,48,1306.09536132812,0.0296413852997214,12.9820775413513,6487.98022460938,3971.81272460937,1332.08573486328,1242.19506591797,764.690002441406,31.1900005340576,15.3800001144409,4.51999998092651,9.71000003814697,33.4700012207031,4.97,1.48,0.8,21.6,45.4,33,2,86,-122.382019042969
"63",104,"sage","grass",80,20,"grass","sage",88,12,682.633228759766,0.248380111907161,12.3359930610657,6177.2875,4332.85069335938,1707.86250244141,928.612530517578,561.429992675781,33.0999984741211,16.5799999237061,5.30000019073486,12.8400001525879,38.7000007629395,7.03,1.5,1.51,24.9,37.8,37.3,3,6,-110.640991210938
"64",107,"chaparral","grass",94,6,"chaparral","grass",98,2,775.863273925781,-0.918575504726124,13.9736742019653,6109.61443359375,3759.56537109375,1224.29836181641,4665.49200195312,572.130004882812,33.3899993896484,15.1400003433228,2.38000011444092,12.4799995422363,41.2200012207031,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-103.244995117188
"65",108,"chaparral","grass",100,0,"chaparral","grass",96,4,885.084886474609,-0.979599039519043,22.0368778419495,5912.05673828125,3388.46959472656,1003.03623779297,4841.63528320313,610.030029296875,32.7200012207031,15.0699996948242,2.19000005722046,12.0200004577637,39.5099983215332,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-103.244995117188
"66",109,"chaparral","grass",84,16,"chaparral","grass",56,44,1020.19559936523,-0.0625545130569376,12.4929865598679,6200.65248046875,3761.00758300781,1267.90627929688,760.660704345703,725.66841796875,32.5075987243652,14.6603997039795,1.46160001277924,12.466799659729,38.7871998596191,12.47,1.52,0.58,18.4,55.6,26,2,86,-122.382019042969
"67",110,"chaparral","grass",98,2,"chaparral","grass",54,46,523.879050292969,-0.618878829699822,32.0122387313843,5082.08622070313,2295.02769287109,394.212879638672,625.840133056641,570.099975585938,34.4599990844727,17.1700000762939,5.1399998664856,13.8299999237061,42.3899993896484,4.37,1.44,0.75,24,39,37,4,6,-110.640991210938
"68",112,"chaparral","barren",68,32,"grass","chaparral",44,30,556.814427490234,0.332087472557265,41.3030991363525,5033.63831054687,4328.44375,2112.85430664063,445.122249145508,559,33.4199981689453,15.9899997711182,3.76999998092651,14.2799997329712,40.5099983215332,11.01,1.42,0.49,27,22.3,50.7,3,34,-116.790985107422
"69",113,"chaparral","grass",62,38,"chaparral","grass",62,38,971.907161865234,0.957009498834345,29.4385192489624,5700.15599609375,4467.8351953125,2008.58023681641,6020.07120117188,567.909973144531,31.7600002288818,15.5699996948242,4.46000003814697,10.3400001525879,36.439998626709,9.18,1.51,0.65,20.8,52.1,27.2,1,86,-103.244995117188
"70",114,"chaparral","grass",90,10,"grass","chaparral",70,30,688.555596923828,0.628158965398201,35.9246461486816,5211.68415039063,3305.59370605469,1140.24213134766,4165.70306640625,561.880004882812,34.3899993896484,16.4799995422363,4.09000015258789,12.9700002670288,43.7799987792969,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-103.244995117188
"71",117,"grass","sage",72,16,"grass","sage",78,18,753.062916259766,0.872945280757641,18.4450775909424,6058.08110351562,4383.29600585938,1738.57988037109,162.915689086914,687.919982910156,33.0299987792969,14.5100002288818,0.670000016689301,13.8900003433228,39.7299995422363,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-103.378967285156
"72",119,"chaparral","grass",92,8,"grass","sage",42,34,567.818892822266,0.42246240639071,21.6958725357056,5651.55392578125,3412.25633789063,1052.48765869141,332.816690063477,606.450012207031,33.5,15.7799997329712,3.42000007629395,14,39.75,7.03,1.5,1.51,24.9,37.8,37.3,4,5,-305.406982421875
"73",120,"grass","sage",48,32,"grass","sage",56,44,355.668045654297,0.602007624567889,24.7984420013428,5533.52135742188,3470.79450195312,1162.75137084961,306.584324951172,550.159973144531,32.310001373291,17.3999996185303,6.63000011444092,13.9300003051758,34.2400016784668,25.5,1.45,1.26,31,35,34,4,5,-305.406982421875
"74",122,"tree","grass",70,30,"tree","grass",92,8,595.063090820312,-0.952526687019252,14.7883023357391,5901.64873046875,3516.40705566406,1060.97632080078,367.344390258789,542.109985351562,33.4700012207031,16.1900005340576,3.89000010490417,13.8699998855591,39.9000015258789,7.03,1.5,1.51,24.9,37.8,37.3,3,6,-110.640991210938
"75",126,"tree","grass",68,32,"tree","grass",80,20,644.736947021484,-0.937369093002838,30.0083108139038,5402.15359375,2952.39976074219,796.035277099609,268.652727050781,560.280029296875,34.2999992370605,16.6700000762939,4.25,14.0900001525879,41.7099990844727,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-110.640991210938
"76",128,"chaparral","grass",98,2,"chaparral","grass",80,20,1284.53552490234,-0.561950566222392,12.2883653450012,6557.23473632813,4347.6704296875,1646.52846435547,109.148301849365,774.5,30.8600006103516,15.0500001907349,4.19000005722046,9.55000019073486,32.6699981689453,4.97,1.48,0.8,21.6,45.4,33,2,86,-122.382019042969
"77",129,"chaparral","grass",84,14,"chaparral","grass",70,26,798.861629638672,0.217736112208256,19.6972892379761,6065.740078125,4460.88517578125,1884.32089111328,52.593265914917,695.450012207031,33.4199981689453,14.4899997711182,0.509999990463257,13.7399997711182,41.310001373291,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-118.245971679688
"78",131,"chaparral","sage",46,40,"chaparral","grass",70,22,363.679830322266,-0.560107056371546,27.481171131134,5425.99974609375,3607.85318847656,1323.72735595703,50.3464963531494,574.130004882812,34.5699996948242,17.6000003814697,5.71999979019165,14.3800001144409,42.7900009155273,4.37,1.44,0.75,24,39,37,2,6,-114.119995117188
"79",134,"tree","grass",86,14,"tree","grass",52,48,659.984704589844,0.50415483598835,27.1957838058472,5251.27661132812,3399.59492675781,1212.73234619141,2165.60045898438,643.380004882812,33.5,15.0200004577637,1.75,13.8400001525879,41.5400009155273,4.97,1.48,0.8,21.6,45.4,33,3,6,-206.565979003906
"80",135,"grass","chaparral",58,42,"grass","chaparral",66,34,944.471166992187,0.963834153492486,15.091854057312,6300.42729492187,4486.6428125,1839.96607666016,126.148763122559,733.22998046875,32.5400009155273,14.8299999237061,1.17999994754791,12.6599998474121,38.9700012207031,12.47,1.52,0.58,18.4,55.6,26,2,86,-122.382019042969
"81",140,"chaparral","grass",64,36,"chaparral","grass",66,34,672.740341796875,0.886416898644893,15.6754208183289,6066.12331054687,4382.43029296875,1788.90168212891,54.2834353637695,683.799987792969,33.4599990844727,14.6400003433228,0.889999985694885,13.960000038147,41.1599998474121,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-118.245971679688
"82",141,"tree","grass",84,16,"tree","grass",66,34,470.600592041016,-0.744885479325815,28.0995598220825,4966.92095703125,2355.75721679688,357.897749023437,38.846808013916,647.630004882812,32.4099998474121,16.2999992370605,4.75,12.9700002670288,36.6699981689453,5.79,1.48,1.73,22.5,39.8,37.7,3,19,-322.613983154297
