"","plot_number","dominant_veg_1930","secondary_veg_1930","dominant_cover_1930","secondary_cover_1930","dominant_veg_2009","secondary_veg_2009","dominant_cover_2009","secondary_cover_2009","elevation","aspect","slope","solar_radiation_summer","solar_radiation_equinox","solar_radiation_winter","road_dist","precipitation","max_temp","mean_temp","min_temp","max_vpd_jan","max_vpd_aug","available_water_supply","bulk_density","organic_matter","clay","sand","silt","number_fires","min_return_interval","min_anomaly"
"1",0,"tree","grass",90,10,"tree","grass",92,8,807.298756103516,-0.991532920180412,20.3212494659424,5879.99416992188,3372.03230957031,944.604428710938,955.268685302734,548.320007324219,32.4300003051758,15.9899997711182,4.96999979019165,12.1300001144409,36.7099990844727,7.03,1.5,1.51,24.9,37.8,37.3,3,6,-110.640991210938
"2",2,"chaparral","barren",88,12,"chaparral","grass",66,24,840.21740234375,0.992207190222352,44.7242547607422,4969.95413085938,4044.61536132812,1910.45185546875,2872.4200390625,660.494392089844,33.1024014282227,15.0387996292114,1.92560002803802,12.8587995910645,40.9351989746094,4.97,1.48,0.8,21.6,45.4,33,3,6,-206.565979003906
"3",3,"tree","grass",46,40,"grass","tree",76,24,571.896636962891,-0.551623257440264,21.8868361282349,5804.9301171875,3866.27239746094,1423.06701904297,910.894140625,598.960021972656,33.5900001525879,15.9899997711182,3.72000002861023,14.3199996948242,40.9300003051758,11.01,1.42,0.49,27,22.3,50.7,3,5,-106.527008056641
"4",4,"sage","grass",60,26,"sage","grass",52,48,868.679299316406,0.871789715058474,24.966343536377,5976.9832421875,4632.68751953125,2071.64081298828,5345.13510742187,558.169982910156,35.4599990844727,17.25,4.5,13.4300003051758,46.3400001525879,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-103.244995117188
"5",5,"chaparral","grass",68,16,"chaparral","grass",58,42,1072.94140136719,-0.364743296746318,20.044366645813,6244.32239257812,4330.17208984375,1728.93490966797,1470.37552734375,696.820007324219,32.0900001525879,15.5,3.9300000667572,11.6999998092651,37.810001373291,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-118.245971679688
"6",6,"tree","grass",82,18,"tree","grass",54,46,553.257998046875,-0.780453372287347,31.5820199203491,5130.866171875,2363.59771484375,440.948421630859,689.551616210937,598.960021972656,33.5900001525879,15.9899997711182,3.72000002861023,14.3199996948242,40.9300003051758,4.37,1.44,0.75,24,39,37,3,5,-102.014007568359
"7",7,"sage","grass",74,26,"sage","grass",74,26,277.317814941406,-0.131691985752623,24.5018045806885,5652.31369140625,4066.79155761719,1647.64980712891,410.622068481445,515.126018066406,32.3240002441406,17.4964002227783,6.87719999313355,14.4296000671387,35.3512002563477,4.37,1.44,0.75,24,39,37,2,5,-116.790985107422
"8",8,"sage","grass",56,42,"grass","sage",72,26,392.371730957031,0.916534897036769,20.6919804191589,5808.8648828125,4196.55688476562,1710.00395996094,444.081137695313,550.159973144531,32.310001373291,17.3999996185303,6.63000011444092,13.9300003051758,34.2400016784668,25.5,1.45,1.26,31,35,34,4,5,-305.406982421875
"9",9,"chaparral","grass",60,40,"grass","chaparral",80,20,1173.33632080078,0.967919786300734,31.201198348999,5841.87044921875,4571.46080078125,2096.01078857422,168.305481262207,766.369995117188,31.0400009155273,15.2700004577637,4.44999980926514,9.73999977111816,33.0200004577637,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-206.565979003906
"10",11,"chaparral","barren",86,10,"chaparral","grass",88,6,1048.91187744141,-0.271552597108527,12.8052665138245,6191.54655273437,4167.24458984375,1579.09236816406,622.885212402344,754.080017089844,31.6700000762939,15.8299999237061,5,10.3299999237061,34.7900009155273,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-186.305969238281
"11",12,"barren","chaparral",44,38,"chaparral","grass",56,22,1047.81305908203,-0.165587864958992,17.206914730072,6254.887890625,4306.30780273438,1687.72119628906,3399.73884277344,672.119995117188,31.8899993896484,16.2299995422363,5.73000001907349,10.5900001525879,36.0699996948242,4.97,1.48,0.8,21.6,45.4,33,3,6,-206.565979003906
"12",13,"tree","grass",66,34,"tree","grass",98,2,630.520751953125,-0.539899823042957,42.4514394378662,4555.679765625,3090.580390625,1169.35223876953,1586.54002929687,628.098400878906,33.3479987335205,14.9840000152588,1.80099999666214,13.849599647522,40.8338000488281,4.97,1.48,0.8,21.6,45.4,33,2,6,-186.305969238281
"13",17,"chaparral","barren",72,22,"chaparral","barren",60,26,1283.3164453125,0.561526571241834,16.9181505203247,6422.25365234375,4645.2353125,1975.908671875,933.153991699219,748.47998046875,30.5,14.6800003051758,3.75,9.14000034332275,31.7399997711182,4.97,1.48,0.8,21.6,45.4,33,2,86,-122.382019042969
"14",19,"chaparral","grass",76,24,"chaparral","grass",54,46,712.152694091797,-0.239471641548642,35.6247243118286,4968.74391601562,2316.89831542969,450.777245483398,428.351181640625,682.359985351562,33.5499992370605,14.6000003814697,0.829999983310699,13.9799995422363,41.5400009155273,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-118.245971679688
"15",20,"grass","tree",54,46,"grass","tree",64,36,366.670553588867,0.756553530653896,30.7308106613159,5227.7637890625,3584.38618164063,1222.39177246094,431.725042724609,559.780029296875,31.6399993896484,17.0900001525879,6.13000011444092,14.289999961853,32.8400001525879,25.5,1.45,1.26,31,35,34,4,5,-322.613983154297
"16",22,"chaparral","grass",98,2,"chaparral","grass",90,10,1133.96005126953,-0.0334329669380925,35.4087048339844,5299.34926757813,2686.59980957031,688.815747070312,470.572224731445,766.369995117188,31.0400009155273,15.2700004577637,4.44999980926514,9.73999977111816,33.0200004577637,9.18,1.51,0.65,20.8,52.1,27.2,2,86,-122.382019042969
"17",23,"chaparral","grass",88,12,"chaparral","grass",86,14,930.566413574219,0.861231555229397,39.8163634109497,5245.41810546875,4569.84123046875,2263.36625488281,1306.48327636719,714.783786621094,32.1712006378174,15.8981997299194,4.55099993228912,11.5668001747131,37.8683991241455,9.18,1.51,0.65,20.8,52.1,27.2,3,6,-206.565979003906
"18",24,"sage","chaparral",48,44,"grass","chaparral",52,30,646.578505859375,0.677790086663475,41.2021874237061,5096.41001953125,4517.09591796875,2259.17313476563,77.5819081115723,559,33.4199981689453,15.9899997711182,3.76999998092651,14.2799997329712,40.5099983215332,11.01,1.42,0.49,27,22.3,50.7,3,34,-116.790985107422
"19",25,"chaparral","grass",64,36,"grass","chaparral",56,34,972.157965087891,0.860898812711186,6.23325966835022,6370.21701171875,4232.80516601563,1580.92859863281,265.022662963867,733.22998046875,32.5400009155273,14.8299999237061,1.17999994754791,12.6599998474121,38.9700012207031,12.47,1.52,0.58,18.4,55.6,26,2,86,-122.382019042969
