"","plot_number","dominant_veg_1930","secondary_veg_1930","dominant_cover_1930","secondary_cover_1930","dominant_veg_2009","secondary_veg_2009","dominant_cover_2009","secondary_cover_2009"
"115",114,"chaparral","grass",90,10,"grass","chaparral",70,30
"116",115,"tree","grass",78,22,"tree","grass",70,30
"117",116,"mixed","mixed",50,50,"grass","tree",52,24
"118",117,"grass","sage",72,16,"grass","sage",78,18
"119",118,"chaparral","grass",62,38,"chaparral","grass",96,4
"120",119,"chaparral","grass",92,8,"grass","sage",42,34
"121",120,"grass","sage",48,32,"grass","sage",56,44
"122",121,"chaparral","grass",58,42,"grass","chaparral",82,18
"123",122,"tree","grass",70,30,"tree","grass",92,8
"124",123,"tree","grass",52,34,"mixed","mixed",50,50
"125",124,"grass","sage",60,22,"grass","sage",78,22
"126",125,"chaparral","grass",98,2,"chaparral","grass",96,4
"127",126,"tree","grass",68,32,"tree","grass",80,20
"128",127,"chaparral","grass",74,22,"grass","sage",82,14
"129",128,"chaparral","grass",98,2,"chaparral","grass",80,20
"130",129,"chaparral","grass",84,14,"chaparral","grass",70,26
"131",130,"chaparral","grass",82,18,"grass","sage",78,16
"132",131,"chaparral","sage",46,40,"chaparral","grass",70,22
"133",132,"sage","grass",54,46,"grass","sage",72,28
"134",133,"chaparral","grass",82,18,"grass","sage",78,14
"135",134,"tree","grass",86,14,"tree","grass",52,48
"136",135,"grass","chaparral",58,42,"grass","chaparral",66,34
"137",136,"chaparral","grass",84,16,"chaparral","grass",74,26
"138",137,"sage","grass",74,14,"grass","sage",74,26
"139",138,"tree","grass",50,26,"chaparral","tree",52,32
"140",139,"chaparral","grass",86,14,"chaparral","grass",90,10
"141",140,"chaparral","grass",64,36,"chaparral","grass",66,34
"142",141,"tree","grass",84,16,"tree","grass",66,34
"143",142,"sage","grass",56,38,"grass","sage",60,28
"144",143,"chaparral","grass",80,20,"chaparral","grass",84,16
"145",144,"chaparral","grass",98,2,"chaparral","grass",86,14
"146",145,"chaparral","grass",60,22,"mixed","mixed",38,38
"147",146,"chaparral","grass",94,6,"grass","chaparral",68,32
"148",147,"grass","sage",52,48,"grass","chaparral",88,12
"149",148,"chaparral","grass",76,24,"grass","chaparral",42,32
"150",149,"sage","chaparral",50,42,"chaparral","grass",48,44
"151",150,"chaparral","grass",62,38,"grass","chaparral",70,28
"152",151,"sage","grass",60,40,"grass","sage",76,24
"153",152,"chaparral","grass",94,6,"grass","chaparral",84,16
"154",153,"tree","grass",100,0,"tree","grass",84,16
"155",154,"chaparral","grass",82,18,"grass","sage",74,22
"156",155,"chaparral","grass",92,8,"chaparral","grass",96,4
"157",156,"sage","grass",60,36,"sage","chaparral",50,30
"158",157,"chaparral","grass",94,6,"chaparral","grass",80,20
"159",158,"chaparral","grass",92,8,"chaparral","grass",62,38
"160",159,"chaparral","grass",86,14,"grass","sage",70,24
"161",160,"chaparral","grass",90,6,"chaparral","grass",82,18
"162",161,"tree","grass",58,42,"tree","grass",84,16
"163",162,"sage","grass",64,14,"chaparral","grass",70,18
"164",163,"chaparral","sage",52,26,"chaparral","grass",72,28
"165",164,"chaparral","grass",64,36,"chaparral","grass",74,26
"166",165,"chaparral","grass",58,22,"grass","chaparral",64,36
"167",166,"chaparral","grass",76,24,"grass","sage",60,30
"168",167,"chaparral","grass",90,10,"chaparral","grass",76,24
"169",168,"tree","grass",84,16,"tree","grass",80,20
"170",169,"grass","sage",68,32,"grass","sage",94,6
"171",170,"chaparral","grass",92,8,"chaparral","grass",80,20
"172",171,"chaparral","grass",74,26,"mixed","mixed",50,50
"173",172,"tree","grass",68,32,"tree","grass",70,30
"174",173,"sage","grass",80,20,"grass","sage",76,14
"175",174,"chaparral","grass",68,32,"chaparral","grass",74,26
"176",175,"chaparral","grass",86,14,"chaparral","grass",64,36
"177",176,"grass","chaparral",46,42,"sage","grass",44,36
"178",177,"chaparral","grass",98,2,"grass","sage",72,28
"179",178,"mixed","mixed",50,50,"grass","sage",70,30
"180",179,"barren","chaparral",62,38,"chaparral","grass",48,32
"181",180,"chaparral","grass",66,22,"chaparral","grass",52,42
"182",181,"tree","grass",64,36,"tree","grass",60,40
"183",182,"grass","chaparral",58,42,"grass","chaparral",80,14
"184",183,"chaparral","grass",88,12,"chaparral","grass",98,2
"185",184,"chaparral","grass",82,18,"chaparral","grass",78,22
"186",185,"chaparral","grass",56,44,"chaparral","grass",78,22
"187",186,"chaparral","grass",58,42,"grass","sage",60,36
"188",187,"chaparral","grass",98,2,"chaparral","grass",86,14
"189",188,"sage","grass",62,38,"grass","sage",60,22
"190",189,"grass","tree",56,44,"grass","chaparral",84,14
"191",190,"grass","chaparral",60,40,"grass","sage",76,16
"192",191,"chaparral","grass",88,12,"chaparral","grass",88,12
"193",192,"chaparral","grass",90,10,"mixed","mixed",50,50
"194",193,"grass","sage",66,32,"grass","sage",68,28
"195",194,"chaparral","sage",54,38,"sage","grass",46,42
"196",195,"grass","chaparral",64,36,"grass","chaparral",48,28
"197",196,"chaparral","grass",52,44,"grass","chaparral",70,24
"198",197,"chaparral","grass",64,36,"chaparral","grass",94,6
"199",198,"chaparral","grass",74,26,"grass","sage",86,14
"200",199,"chaparral","grass",54,46,"chaparral","grass",66,34
"201",200,"chaparral","barren",48,42,"chaparral","grass",58,22
"202",201,"chaparral","grass",90,10,"chaparral","grass",84,16
"203",202,"sage","tree",52,30,"chaparral","grass",52,34
"204",203,"mixed","mixed",50,50,"grass","sage",68,32
"205",204,"tree","grass",86,14,"tree","grass",96,4
"206",205,"grass","sage",68,30,"grass","sage",90,10
"207",206,"grass","sage",66,34,"grass","sage",84,14
"208",207,"chaparral","grass",54,40,"chaparral","grass",46,42
"209",208,"chaparral","grass",86,14,"grass","chaparral",54,42
"210",209,"grass","sage",54,46,"grass","chaparral",54,30
"211",210,"chaparral","grass",94,6,"chaparral","grass",52,46
"212",211,"chaparral","grass",84,16,"chaparral","grass",66,34
"213",212,"chaparral","grass",72,28,"grass","chaparral",66,34
"214",213,"chaparral","grass",92,8,"chaparral","grass",52,48
"215",214,"chaparral","grass",80,20,"grass","sage",78,16
"216",215,"chaparral","grass",88,12,"chaparral","grass",100,0
"217",216,"sage","tree",48,28,"grass","sage",58,26
"218",217,"barren","chaparral",46,44,"chaparral","grass",42,40
"219",218,"chaparral","grass",98,2,"chaparral","grass",92,8
"220",219,"sage","chaparral",48,42,"grass","sage",82,16
"221",220,"chaparral","sage",60,26,"grass","chaparral",60,32
"222",221,"chaparral","grass",52,26,"grass","chaparral",72,16
"223",222,"chaparral","grass",48,28,"grass","chaparral",56,42
"224",223,"chaparral","grass",94,6,"chaparral","grass",86,14
"225",224,"chaparral","grass",46,44,"chaparral","grass",90,10
"226",225,"chaparral","sage",56,38,"chaparral","grass",58,36
"227",226,"sage","grass",80,20,"grass","sage",92,8
"228",227,"chaparral","barren",60,26,"chaparral","barren",72,18
"229",228,"chaparral","grass",84,16,"chaparral","grass",70,30
"230",229,"grass","sage",62,38,"grass","sage",50,42
"231",230,"grass","chaparral",36,34,"grass","sage",68,26
"232",231,"sage","chaparral",80,16,"grass","chaparral",72,16
"233",232,"chaparral","grass",88,12,"chaparral","grass",98,2
"234",233,"grass","chaparral",82,18,"grass","chaparral",64,36
"235",234,"chaparral","grass",52,48,"grass","chaparral",52,48
"236",235,"chaparral","sage",72,24,"grass","sage",74,18
"237",236,"grass","chaparral",56,44,"chaparral","grass",46,38
"238",237,"sage","grass",84,16,"grass","sage",82,18
"239",238,"tree","chaparral",66,24,"chaparral","tree",60,32
"240",239,"chaparral","grass",82,18,"chaparral","grass",72,28
"241",240,"grass","sage",56,44,"grass","sage",72,26
"242",241,"chaparral","sage",56,38,"chaparral","grass",62,38
"243",242,"tree","chaparral",62,36,"mixed","mixed",38,38
"244",243,"sage","grass",56,26,"grass","chaparral",62,38
"245",244,"grass","sage",46,30,"grass","chaparral",72,16
"246",245,"grass","sage",48,32,"grass","chaparral",70,28
"247",246,"chaparral","grass",74,26,"chaparral","grass",78,22
"248",247,"chaparral","grass",86,14,"grass","sage",54,30
"249",248,"chaparral","grass",90,10,"chaparral","grass",58,42
"250",249,"chaparral","grass",86,14,"chaparral","grass",98,2
"251",250,"chaparral","tree",44,34,"grass","tree",42,32
"252",251,"chaparral","grass",56,44,"chaparral","grass",80,20
"253",252,"chaparral","grass",56,44,"chaparral","grass",88,12
"254",253,"sage","grass",66,34,"grass","sage",94,6
"255",254,"chaparral","grass",88,12,"grass","chaparral",66,30
"256",255,"grass","sage",62,22,"grass","chaparral",50,28
"257",256,"chaparral","grass",92,8,"grass","chaparral",86,10
"258",257,"barren","chaparral",40,38,"grass","sage",54,30
"259",258,"tree","grass",44,28,"grass","tree",60,30
"260",259,"sage","grass",70,30,"grass","sage",56,44
"261",260,"chaparral","sage",58,28,"grass","chaparral",56,32
"262",261,"grass","sage",48,38,"grass","chaparral",66,24
"263",262,"chaparral","grass",62,22,"grass","chaparral",58,32
"264",263,"chaparral","tree",76,14,"grass","sage",74,18
"265",264,"chaparral","tree",46,44,"grass","tree",68,32
"266",265,"sage","grass",78,14,"grass","sage",44,36
"267",266,"chaparral","grass",42,38,"grass","chaparral",56,34
"268",267,"mixed","mixed",50,50,"chaparral","grass",46,36
"269",268,"chaparral","sage",74,16,"grass","sage",88,12
"270",269,"chaparral","barren",94,4,"chaparral","barren",92,6
"271",270,"sage","chaparral",70,16,"grass","sage",70,24
"272",271,"grass","sage",60,24,"grass","chaparral",82,14
"273",272,"chaparral","grass",88,12,"grass","chaparral",82,12
"274",273,"grass","sage",52,44,"grass","chaparral",82,10
"275",274,"chaparral","grass",58,42,"chaparral","grass",50,44
"276",275,"chaparral","grass",92,8,"chaparral","grass",86,14
"277",276,"chaparral","barren",96,4,"grass","chaparral",52,34
"278",277,"chaparral","grass",54,36,"grass","sage",50,44
"279",278,"chaparral","grass",98,2,"chaparral","grass",70,30
"280",279,"chaparral","barren",84,12,"mixed","mixed",46,46
"281",280,"chaparral","grass",70,22,"grass","chaparral",74,22
"282",281,"chaparral","grass",72,28,"chaparral","grass",88,12
"283",282,"chaparral","grass",92,8,"chaparral","grass",62,38
"284",283,"grass","chaparral",78,22,"grass","chaparral",62,32
"285",284,"barren","chaparral",50,28,"barren","chaparral",64,20
"286",285,"chaparral","grass",82,18,"chaparral","grass",82,18
"287",286,"grass","chaparral",58,42,"grass","chaparral",60,40
"288",287,"chaparral","grass",92,8,"chaparral","grass",76,24
"289",288,"chaparral","grass",80,20,"chaparral","grass",66,34
"290",289,"chaparral","grass",86,14,"grass","chaparral",82,18
"291",290,"tree","grass",64,36,"tree","grass",84,16
"292",291,"grass","chaparral",44,30,"sage","grass",50,48
"293",292,"grass","sage",58,42,"grass","sage",70,20
"294",293,"chaparral","grass",66,28,"chaparral","grass",72,26
"295",294,"grass","chaparral",60,38,"grass","chaparral",60,38
"296",295,"tree","grass",60,40,"tree","grass",86,14
"297",296,"chaparral","grass",60,40,"grass","chaparral",56,44
"298",297,"chaparral","grass",88,12,"chaparral","grass",100,0
"299",298,"sage","grass",50,28,"grass","sage",52,28
"300",299,"chaparral","grass",78,22,"grass","chaparral",70,20
"301",300,"chaparral","grass",98,2,"chaparral","grass",86,14
"302",301,"chaparral","grass",68,32,"chaparral","grass",66,34
"303",302,"sage","tree",40,28,"grass","tree",70,22
"304",303,"grass","chaparral",60,40,"grass","chaparral",84,14
"305",304,"chaparral","grass",98,2,"grass","chaparral",64,36
"306",305,"sage","grass",66,34,"grass","sage",96,4
"307",306,"chaparral","grass",44,28,"grass","sage",70,18
"308",307,"chaparral","grass",76,24,"grass","chaparral",70,30
"309",308,"tree","grass",58,42,"grass","tree",56,44
"310",309,"chaparral","grass",44,36,"barren","grass",66,26
"311",310,"sage","chaparral",56,24,"grass","sage",88,8
"312",311,"chaparral","grass",64,34,"chaparral","grass",54,46
"313",312,"chaparral","grass",82,18,"grass","sage",60,34
"314",313,"chaparral","sage",60,32,"chaparral","grass",68,28
"315",314,"sage","grass",48,36,"grass","chaparral",76,12
"316",315,"chaparral","grass",62,20,"grass","chaparral",62,26
"317",316,"grass","sage",52,46,"grass","chaparral",80,20
"318",317,"chaparral","grass",88,12,"chaparral","grass",74,26
"319",318,"sage","grass",54,18,"grass","sage",86,10
"320",319,"chaparral","grass",86,12,"grass","sage",72,24
"321",320,"chaparral","barren",54,36,"chaparral","grass",50,26
"322",321,"chaparral","grass",92,8,"chaparral","grass",80,20
"323",322,"chaparral","grass",52,48,"sage","grass",62,28
"324",323,"tree","grass",66,34,"tree","grass",88,12
"325",324,"mixed","mixed",50,50,"tree","grass",64,36
"326",325,"chaparral","grass",84,16,"grass","chaparral",52,48
"327",326,"sage","tree",50,36,"grass","tree",54,46
"328",327,"chaparral","grass",90,10,"grass","chaparral",72,16
"329",328,"chaparral","grass",80,18,"chaparral","grass",58,42
"330",329,"chaparral","grass",74,26,"grass","chaparral",76,16
"331",330,"chaparral","grass",66,34,"grass","sage",64,24
"332",331,"chaparral","barren",76,24,"chaparral","barren",50,36
"333",332,"tree","grass",90,10,"tree","grass",76,24
"334",333,"chaparral","grass",58,42,"grass","chaparral",88,8
"335",334,"chaparral","barren",56,44,"chaparral","barren",58,24
"336",335,"sage","grass",60,38,"grass","sage",60,24
"337",336,"chaparral","grass",44,36,"grass","chaparral",66,34
"338",337,"tree","grass",72,28,"grass","tree",54,46
"339",338,"sage","grass",66,34,"grass","tree",100,0
"340",339,"chaparral","grass",96,4,"sage","chaparral",42,34
"341",340,"chaparral","grass",86,14,"chaparral","grass",74,26
"342",341,"chaparral","grass",92,8,"chaparral","grass",74,26
"343",342,"grass","sage",54,46,"sage","grass",58,34
"344",343,"grass","chaparral",66,34,"grass","chaparral",62,34
"345",344,"chaparral","grass",82,18,"chaparral","grass",52,48
"346",345,"mixed","mixed",50,50,"chaparral","grass",76,22
"347",346,"sage","grass",46,36,"sage","grass",66,32
"348",347,"grass","sage",56,44,"grass","sage",90,10
"349",348,"chaparral","grass",94,6,"chaparral","grass",100,0
"350",349,"tree","grass",82,18,"tree","grass",64,32
"351",350,"sage","grass",82,18,"grass","sage",94,6
"352",351,"grass","chaparral",58,42,"grass","chaparral",52,48
"353",352,"sage","grass",48,44,"grass","sage",90,10
"354",353,"grass","chaparral",74,16,"grass","sage",68,18
"355",354,"grass","sage",52,48,"grass","chaparral",56,44
"356",355,"chaparral","barren",72,28,"chaparral","grass",80,20
"357",356,"sage","grass",54,44,"grass","sage",82,10
"358",357,"sage","grass",76,24,"grass","sage",74,18
"359",358,"chaparral","grass",68,30,"chaparral","grass",56,44
"360",359,"chaparral","grass",66,34,"grass","chaparral",56,44
"361",360,"grass","tree",58,42,"tree","grass",60,40
"362",361,"grass","sage",38,36,"chaparral","grass",48,46
"363",362,"grass","sage",58,42,"sage","grass",56,44
"364",363,"chaparral","grass",96,4,"chaparral","grass",86,14
"365",364,"chaparral","grass",52,26,"chaparral","grass",58,42
"366",365,"chaparral","tree",54,32,"chaparral","grass",46,40
"367",366,"chaparral","tree",44,38,"chaparral","tree",60,36
"368",367,"tree","grass",52,48,"tree","grass",58,42
"369",368,"sage","grass",58,42,"grass","sage",92,8
"370",369,"mixed","mixed",50,50,"chaparral","grass",70,30
"371",370,"chaparral","tree",46,30,"chaparral","sage",42,38
"372",371,"grass","chaparral",82,14,"grass","chaparral",92,6
"373",372,"sage","grass",92,8,"grass","sage",68,32
"374",373,"chaparral","grass",78,20,"chaparral","grass",76,22
"375",374,"chaparral","grass",50,30,"chaparral","grass",56,34
"376",375,"chaparral","grass",78,22,"chaparral","grass",76,24
"377",376,"sage","grass",82,18,"sage","grass",56,40
"378",377,"chaparral","grass",84,16,"chaparral","grass",66,34
"379",378,"tree","grass",72,28,"grass","tree",56,44
"380",379,"sage","grass",58,30,"grass","sage",46,40
"381",380,"chaparral","grass",70,30,"grass","sage",70,16
"382",381,"grass","chaparral",66,18,"grass","chaparral",64,24
"383",382,"sage","grass",50,46,"grass","chaparral",62,20
"384",383,"chaparral","grass",58,42,"chaparral","grass",62,38
"385",384,"chaparral","tree",40,38,"tree","grass",86,10
"386",385,"grass","tree",52,48,"tree","grass",80,20
"387",386,"chaparral","grass",88,12,"chaparral","grass",74,26
"388",387,"chaparral","grass",38,36,"chaparral","grass",72,20
"389",388,"chaparral","grass",54,46,"chaparral","grass",58,42
"390",389,"chaparral","grass",74,26,"chaparral","grass",88,12
"391",390,"chaparral","grass",80,20,"chaparral","grass",74,26
"392",391,"chaparral","grass",88,12,"chaparral","grass",54,46
"393",392,"chaparral","grass",92,8,"chaparral","grass",82,18
"394",393,"chaparral","grass",94,6,"grass","chaparral",56,44
"395",394,"chaparral","grass",82,18,"chaparral","grass",78,22
"396",395,"sage","chaparral",78,18,"grass","chaparral",70,18
"397",396,"chaparral","grass",100,0,"chaparral","grass",100,0
"398",397,"chaparral","barren",82,18,"chaparral","grass",92,4
"399",398,"chaparral","grass",72,28,"grass","sage",68,28
"400",399,"chaparral","tree",70,18,"sage","grass",56,38
"401",400,"chaparral","grass",64,36,"chaparral","grass",80,20
"402",401,"grass","sage",52,36,"grass","chaparral",60,20
"403",402,"chaparral","grass",92,8,"grass","sage",58,42
"404",403,"grass","chaparral",44,36,"grass","chaparral",74,20
"405",404,"chaparral","grass",84,16,"chaparral","grass",64,36
"406",405,"chaparral","grass",56,44,"chaparral","grass",76,24
"407",406,"chaparral","grass",84,16,"grass","chaparral",64,28
"408",407,"grass","chaparral",56,36,"grass","chaparral",66,30
"409",408,"sage","grass",60,40,"grass","sage",88,10
"410",409,"grass","chaparral",38,36,"grass","chaparral",66,34
"411",410,"tree","grass",66,34,"tree","grass",56,44
"412",411,"sage","grass",70,30,"grass","sage",84,12
"413",412,"grass","chaparral",56,40,"grass","sage",92,6
"414",413,"chaparral","grass",74,26,"grass","chaparral",54,46
"415",414,"grass","chaparral",50,38,"grass","chaparral",62,30
"416",415,"chaparral","grass",66,26,"chaparral","grass",80,20
"417",416,"tree","grass",58,42,"grass","tree",62,38
"418",417,"grass","chaparral",58,38,"grass","chaparral",58,42
"419",418,"grass","sage",72,28,"grass","sage",94,6
"420",419,"chaparral","grass",88,12,"grass","chaparral",52,48
"421",420,"chaparral","grass",62,38,"chaparral","grass",76,24
"422",421,"chaparral","grass",88,12,"grass","chaparral",68,32
"423",422,"chaparral","grass",76,24,"chaparral","grass",76,24
"424",423,"grass","chaparral",72,26,"chaparral","grass",78,22
"425",424,"chaparral","grass",96,4,"chaparral","grass",92,8
"426",425,"chaparral","grass",82,18,"chaparral","grass",62,38
"427",426,"chaparral","grass",82,18,"chaparral","grass",94,6
"428",427,"grass","sage",58,42,"grass","tree",100,0
"429",428,"chaparral","grass",98,2,"chaparral","grass",78,22
"430",429,"chaparral","grass",90,10,"chaparral","grass",76,20
"431",430,"grass","tree",64,36,"grass","sage",76,18
"432",431,"sage","chaparral",86,10,"chaparral","grass",68,30
"433",432,"tree","grass",60,40,"tree","grass",76,24
"434",433,"tree","grass",56,24,"tree","grass",60,40
"435",434,"grass","tree",66,34,"tree","grass",56,44
"436",435,"sage","grass",74,26,"grass","sage",96,4
"437",436,"chaparral","grass",82,18,"chaparral","grass",62,38
"438",437,"chaparral","grass",86,14,"chaparral","grass",66,34
"439",438,"grass","chaparral",58,30,"grass","chaparral",68,16
"440",439,"chaparral","grass",94,6,"chaparral","grass",86,14
"441",440,"chaparral","grass",52,48,"grass","chaparral",60,30
"442",441,"chaparral","grass",78,22,"chaparral","grass",76,24
"443",442,"chaparral","grass",52,48,"grass","chaparral",64,36
"444",443,"sage","grass",58,36,"grass","sage",68,26
"445",444,"chaparral","barren",82,12,"chaparral","barren",86,10
"446",445,"tree","grass",92,8,"grass","chaparral",56,40
"447",446,"grass","sage",52,44,"grass","chaparral",72,18
"448",447,"chaparral","grass",76,24,"chaparral","grass",76,22
"449",448,"grass","sage",44,32,"sage","grass",58,42
"450",449,"chaparral","grass",70,30,"chaparral","grass",56,44
"451",450,"sage","grass",80,20,"grass","sage",94,4
"452",451,"grass","chaparral",86,12,"grass","sage",74,16
"453",452,"chaparral","grass",66,34,"grass","sage",90,8
"454",453,"sage","chaparral",48,32,"grass","sage",96,4
"455",454,"grass","sage",72,26,"grass","sage",60,24
"456",455,"chaparral","grass",78,22,"chaparral","grass",90,10
"457",456,"chaparral","grass",94,6,"chaparral","grass",76,24
"458",457,"chaparral","grass",78,22,"chaparral","grass",70,30
"459",458,"chaparral","tree",66,30,"sage","grass",50,38
"460",459,"chaparral","grass",88,12,"grass","chaparral",54,32
"461",460,"chaparral","grass",66,32,"chaparral","grass",56,34
"462",461,"grass","sage",60,40,"chaparral","grass",56,40
"463",462,"grass","sage",56,32,"grass","sage",80,16
"464",463,"grass","tree",56,24,"grass","sage",74,12
"465",464,"sage","grass",56,42,"grass","sage",76,12
