"","plot_number","dominant_veg_1930","secondary_veg_1930","dominant_cover_1930","secondary_cover_1930","dominant_veg_2009","secondary_veg_2009","dominant_cover_2009","secondary_cover_2009"
"1",0,"tree","grass",90,10,"tree","grass",92,8
"2",1,"grass","chaparral",44,38,"chaparral","grass",54,44
"3",2,"chaparral","barren",88,12,"chaparral","grass",66,24
"4",3,"tree","grass",46,40,"grass","tree",76,24
"5",4,"sage","grass",60,26,"sage","grass",52,48
"6",5,"chaparral","grass",68,16,"chaparral","grass",58,42
"7",6,"tree","grass",82,18,"tree","grass",54,46
"8",7,"sage","grass",74,26,"sage","grass",74,26
"9",8,"sage","grass",56,42,"grass","sage",72,26
"10",9,"chaparral","grass",60,40,"grass","chaparral",80,20
"11",10,"tree","grass",66,34,"grass","tree",80,20
"12",11,"chaparral","barren",86,10,"chaparral","grass",88,6
"13",12,"barren","chaparral",44,38,"chaparral","grass",56,22
"14",13,"tree","grass",66,34,"tree","grass",98,2
"15",14,"chaparral","grass",86,14,"chaparral","grass",90,8
"16",15,"sage","grass",58,40,"grass","sage",82,12
"17",16,"grass","chaparral",42,32,"chaparral","grass",68,30
"18",17,"chaparral","barren",72,22,"chaparral","barren",60,26
"19",18,"tree","grass",58,26,"grass","chaparral",86,14
"20",19,"chaparral","grass",76,24,"chaparral","grass",54,46
"21",20,"grass","tree",54,46,"grass","tree",64,36
"22",21,"sage","grass",76,24,"grass","sage",92,8
"23",22,"chaparral","grass",98,2,"chaparral","grass",90,10
"24",23,"chaparral","grass",88,12,"chaparral","grass",86,14
"25",24,"sage","chaparral",48,44,"grass","chaparral",52,30
"26",25,"chaparral","grass",64,36,"grass","chaparral",56,34
"27",26,"chaparral","grass",82,18,"grass","sage",64,20
"28",27,"sage","grass",64,36,"grass","sage",94,6
"29",28,"sage","grass",64,36,"chaparral","grass",60,40
"30",29,"mixed","mixed",50,50,"grass","chaparral",66,32
"31",30,"chaparral","grass",86,14,"chaparral","grass",82,18
"32",31,"chaparral","grass",82,18,"grass","chaparral",70,30
"33",32,"chaparral","grass",90,10,"chaparral","grass",88,12
"34",33,"tree","grass",62,38,"tree","grass",80,20
"35",34,"grass","chaparral",74,26,"grass","chaparral",94,6
"36",35,"chaparral","grass",52,48,"chaparral","grass",70,30
"37",36,"chaparral","grass",94,6,"chaparral","grass",66,34
"38",37,"chaparral","grass",62,38,"chaparral","grass",84,16
"39",38,"mixed","mixed",50,50,"grass","chaparral",82,14
"40",39,"chaparral","grass",54,30,"grass","sage",90,10
"41",40,"chaparral","grass",96,4,"chaparral","grass",86,14
"42",41,"chaparral","grass",72,28,"chaparral","grass",50,32
"43",42,"tree","grass",58,42,"tree","grass",58,42
"44",43,"sage","grass",64,34,"grass","chaparral",60,38
"45",44,"chaparral","grass",76,24,"chaparral","grass",66,34
"46",45,"chaparral","grass",98,2,"chaparral","grass",76,24
"47",46,"grass","sage",52,38,"grass","sage",82,18
"48",47,"chaparral","grass",62,24,"grass","tree",78,20
"49",48,"tree","grass",52,48,"tree","grass",60,36
"50",49,"chaparral","grass",92,8,"chaparral","grass",76,20
"51",50,"chaparral","grass",96,4,"chaparral","grass",82,18
"52",51,"chaparral","grass",52,40,"chaparral","grass",52,48
"53",52,"chaparral","grass",96,4,"grass","chaparral",56,44
"54",53,"grass","tree",60,40,"tree","grass",72,28
"55",54,"chaparral","grass",94,6,"chaparral","grass",92,8
"56",55,"grass","sage",52,44,"grass","chaparral",76,22
"57",56,"chaparral","grass",90,10,"grass","sage",78,14
"58",57,"chaparral","tree",62,34,"grass","chaparral",60,28
"59",58,"chaparral","grass",98,2,"chaparral","grass",100,0
"60",59,"grass","sage",52,48,"grass","sage",68,32
"61",60,"tree","grass",88,12,"grass","chaparral",60,28
"62",61,"chaparral","grass",86,14,"chaparral","grass",80,20
"63",62,"tree","chaparral",66,18,"tree","grass",52,34
"64",63,"chaparral","grass",82,18,"chaparral","grass",70,30
"65",64,"chaparral","grass",56,44,"grass","chaparral",66,34
"66",65,"chaparral","grass",86,14,"grass","sage",56,44
"67",66,"chaparral","grass",86,14,"chaparral","grass",78,22
"68",67,"chaparral","grass",94,6,"chaparral","grass",62,38
"69",68,"chaparral","grass",96,4,"chaparral","grass",70,30
"70",69,"chaparral","grass",86,14,"chaparral","grass",98,2
"71",70,"chaparral","grass",52,48,"grass","sage",50,32
"72",71,"chaparral","grass",94,6,"chaparral","grass",100,0
"73",72,"grass","tree",86,14,"grass","tree",74,26
"74",73,"chaparral","barren",64,22,"chaparral","grass",48,34
"75",74,"chaparral","grass",96,4,"chaparral","grass",94,6
"76",75,"tree","grass",74,26,"tree","grass",68,32
"77",76,"barren","chaparral",90,10,"barren","chaparral",72,28
"78",77,"chaparral","grass",98,2,"chaparral","grass",84,16
"79",78,"chaparral","grass",82,18,"chaparral","grass",56,44
"80",79,"chaparral","grass",54,46,"grass","chaparral",76,24
"81",80,"grass","tree",64,36,"grass","sage",74,14
"82",81,"chaparral","grass",90,6,"chaparral","barren",90,8
"83",82,"sage","grass",60,22,"grass","tree",70,18
"84",83,"chaparral","grass",64,36,"grass","chaparral",62,20
"85",84,"chaparral","grass",88,12,"chaparral","grass",94,6
"86",85,"chaparral","grass",38,34,"grass","chaparral",62,38
"87",86,"chaparral","grass",84,16,"chaparral","grass",58,42
"88",87,"chaparral","grass",82,18,"chaparral","grass",70,30
"89",88,"chaparral","grass",76,24,"chaparral","grass",100,0
"90",89,"chaparral","grass",100,0,"chaparral","grass",86,14
"91",90,"chaparral","grass",78,22,"grass","sage",62,34
"92",91,"tree","grass",56,26,"chaparral","grass",50,44
"93",92,"chaparral","grass",60,40,"grass","chaparral",54,34
"94",93,"sage","grass",84,16,"grass","tree",62,22
"95",94,"chaparral","grass",82,12,"chaparral","grass",62,26
"96",95,"chaparral","grass",80,20,"chaparral","grass",80,20
"97",96,"chaparral","grass",96,4,"chaparral","grass",98,2
"98",97,"chaparral","grass",80,10,"chaparral","grass",96,2
"99",98,"grass","sage",54,46,"grass","sage",62,38
"100",99,"chaparral","grass",88,12,"chaparral","grass",92,8
"101",100,"chaparral","grass",72,28,"grass","chaparral",54,46
"102",101,"sage","grass",44,38,"grass","sage",54,28
"103",102,"chaparral","grass",88,12,"chaparral","grass",52,48
"104",103,"grass","tree",58,42,"grass","tree",88,12
"105",104,"sage","grass",80,20,"grass","sage",88,12
"106",105,"chaparral","grass",72,28,"grass","chaparral",54,46
"107",106,"tree","chaparral",62,32,"tree","grass",76,18
"108",107,"chaparral","grass",94,6,"chaparral","grass",98,2
"109",108,"chaparral","grass",100,0,"chaparral","grass",96,4
"110",109,"chaparral","grass",84,16,"chaparral","grass",56,44
"111",110,"chaparral","grass",98,2,"chaparral","grass",54,46
"112",111,"chaparral","grass",54,46,"chaparral","grass",92,8
"113",112,"chaparral","barren",68,32,"grass","chaparral",44,30
"114",113,"chaparral","grass",62,38,"chaparral","grass",62,38
